time,current,power,marker
 0.0000,349.0,1585.3325,marker1
 0.0002,355.5,1614.5032,marker1
 0.0004,342.5,1555.4638,marker1
 0.0006,349.0,1584.9835,marker1
 0.0008,349.5,1587.2542,marker1
 0.0010,349.0,1584.9835,marker1
 0.0012,349.5,1587.2542,marker1
 0.0014,349.0,1584.6345,marker1
 0.0016,349.0,1584.9835,marker1
 0.0018,349.5,1587.2542,marker1
 0.0020,349.0,1584.9835,marker1
 0.0022,349.5,1587.2542,marker1
 0.0024,349.0,1584.9835,marker1
 0.0026,349.0,1584.6345,marker1
 0.0028,349.5,1587.2542,marker1
 0.0030,349.0,1584.9835,marker1
 0.0032,349.5,1587.2542,marker1
 0.0034,349.0,1584.9835,marker1
 0.0036,349.0,1584.9835,marker1
 0.0038,349.0,1584.9835,marker1
 0.0040,349.0,1584.9835,marker1
 0.0042,349.0,1584.6345,marker1
 0.0044,350.0,1589.5250,marker1
 0.0046,349.5,1587.2542,marker1
 0.0048,349.5,1587.2542,marker1
 0.0050,349.0,1584.9835,marker1
 0.0052,349.5,1587.2542,marker1
 0.0054,349.0,1584.6345,marker1
 0.0056,349.5,1587.2542,marker1
 0.0058,350.0,1589.5250,marker1
 0.0060,349.0,1584.9835,marker1
 0.0062,349.0,1584.9835,marker1
 0.0064,348.5,1582.7128,marker1
 0.0066,349.5,1587.2542,marker1
 0.0068,349.5,1587.2542,marker1
 0.0070,349.0,1584.9835,marker1
 0.0072,349.5,1587.2542,marker1
 0.0074,349.0,1584.9835,marker1
 0.0076,349.5,1587.2542,marker1
 0.0078,354.5,1609.9617,marker1
 0.0080,349.5,1586.9047,marker1
 0.0082,349.5,1586.9047,marker1
 0.0084,349.0,1584.6345,marker1
 0.0086,349.0,1584.6345,marker1
 0.0088,349.5,1587.2542,marker1
 0.0090,351.0,1594.0665,marker1
 0.0092,351.5,1595.9857,marker1
 0.0094,351.0,1594.0665,marker1
 0.0096,352.0,1598.2560,marker1
 0.0098,351.5,1595.9857,marker1
 0.0100,351.0,1593.7155,marker1
 0.0102,351.5,1595.9857,marker1
 0.0104,351.0,1593.7155,marker1
 0.0106,351.5,1595.9857,marker1
 0.0108,351.5,1595.9857,marker1
 0.0110,351.5,1596.3373,marker1
 0.0112,352.0,1598.2560,marker1
 0.0114,352.0,1598.2560,marker1
 0.0116,352.0,1598.2560,marker1
 0.0118,352.0,1598.2560,marker1
 0.0120,352.0,1598.2560,marker1
 0.0122,352.5,1600.1738,marker1
 0.0124,350.5,1591.4452,marker1
 0.0126,351.5,1595.9857,marker1
 0.0128,351.0,1594.0665,marker1
 0.0130,351.5,1596.3373,marker1
 0.0132,352.0,1598.2560,marker1
 0.0134,351.0,1593.7155,marker1
 0.0136,351.5,1595.9857,marker1
 0.0138,351.5,1595.9857,marker1
 0.0140,351.0,1593.7155,marker1
 0.0142,371.5,1687.1672,marker1
 0.0144,353.0,1602.7965,marker1
 0.0146,351.5,1595.9857,marker1
 0.0148,351.5,1595.9857,marker1
 0.0150,351.5,1596.3373,marker1
 0.0152,351.5,1596.3373,marker1
 0.0154,351.5,1596.3373,marker1
 0.0156,351.5,1595.9857,marker1
 0.0158,359.0,1630.0395,marker1
 0.0160,351.5,1595.9857,marker1
 0.0162,351.5,1595.9857,marker1
 0.0164,351.0,1593.7155,marker1
 0.0166,351.5,1595.6343,marker1
 0.0168,352.0,1598.2560,marker1
 0.0170,351.0,1593.7155,marker1
 0.0172,351.5,1596.3373,marker1
 0.0174,351.5,1595.9857,marker1
 0.0176,351.5,1595.9857,marker1
 0.0178,351.5,1595.9857,marker1
 0.0180,351.0,1593.7155,marker1
 0.0182,358.0,1625.4990,marker1
 0.0184,345.0,1566.4725,marker1
 0.0186,351.5,1595.9857,marker1
 0.0188,351.5,1595.9857,marker1
 0.0190,351.0,1593.7155,marker1
 0.0192,352.0,1598.2560,marker1
 0.0194,351.0,1593.7155,marker1
 0.0196,351.5,1596.3373,marker1
 0.0198,351.5,1596.3373,marker1
 0.0200,351.0,1594.0665,marker1
 0.0202,351.5,1596.3373,marker1
 0.0204,351.0,1593.7155,marker1
 0.0206,351.5,1595.9857,marker1
 0.0208,351.5,1596.3373,marker1
 0.0210,351.5,1595.9857,marker1
 0.0212,351.5,1595.9857,marker1
 0.0214,351.0,1593.7155,marker1
 0.0216,351.5,1595.9857,marker1
 0.0218,351.5,1595.9857,marker1
 0.0220,351.0,1593.7155,marker1
 0.0222,352.0,1598.2560,marker1
 0.0224,351.0,1594.0665,marker1
 0.0226,351.5,1595.9857,marker1
 0.0228,351.5,1595.9857,marker1
 0.0230,351.0,1593.3645,marker1
 0.0232,351.5,1595.9857,marker1
 0.0234,351.5,1595.9857,marker1
 0.0236,351.5,1595.9857,marker1
 0.0238,358.0,1625.4990,marker1
 0.0240,351.5,1595.9857,marker1
 0.0242,352.0,1598.2560,marker1
 0.0244,352.0,1598.2560,marker1
 0.0246,352.0,1598.2560,marker1
 0.0248,351.5,1596.3373,marker1
 0.0250,351.5,1595.9857,marker1
 0.0252,351.5,1595.9857,marker1
 0.0254,351.5,1595.9857,marker1
 0.0256,351.5,1595.9857,marker1
 0.0258,352.0,1598.2560,marker1
 0.0260,351.0,1593.7155,marker1
 0.0262,351.5,1595.9857,marker1
 0.0264,351.0,1593.7155,marker1
 0.0266,351.5,1596.3373,marker1
 0.0268,351.5,1596.3373,marker1
 0.0270,351.5,1596.3373,marker1
 0.0272,352.0,1598.6080,marker1
 0.0274,351.0,1593.7155,marker1
 0.0276,351.5,1596.3373,marker1
 0.0278,351.5,1596.3373,marker1
 0.0280,352.0,1598.2560,marker1
 0.0282,352.5,1600.5262,marker1
 0.0284,351.5,1595.9857,marker1
 0.0286,352.0,1598.2560,marker1
 0.0288,352.5,1600.5262,marker1
 0.0290,351.5,1595.9857,marker1
 0.0292,351.5,1595.9857,marker1
 0.0294,351.5,1595.9857,marker1
 0.0296,351.5,1595.9857,marker1
 0.0298,351.5,1595.9857,marker1
 0.0300,351.5,1595.9857,marker1
 0.0302,352.0,1598.6080,marker1
 0.0304,351.5,1595.9857,marker1
 0.0306,351.5,1595.9857,marker1
 0.0308,351.5,1595.9857,marker1
 0.0310,351.5,1595.9857,marker1
 0.0312,352.0,1598.6080,marker1
 0.0314,351.5,1595.9857,marker1
 0.0316,351.5,1596.3373,marker1
 0.0318,356.5,1619.0448,marker1
 0.0320,351.0,1594.0665,marker1
 0.0322,352.0,1598.6080,marker1
 0.0324,351.5,1596.3373,marker1
 0.0326,351.5,1595.9857,marker1
 0.0328,351.5,1596.3373,marker1
 0.0330,351.5,1595.9857,marker1
 0.0332,351.5,1596.3373,marker1
 0.0334,351.5,1595.9857,marker1
 0.0336,351.5,1595.9857,marker1
 0.0338,351.5,1595.9857,marker1
 0.0340,351.0,1593.7155,marker1
 0.0342,351.5,1595.9857,marker1
